id,name,category,qty_vehicle,qty_order,sourcing,material,spec,supplier,supplier_part_number,supplier_url,unit_cost_usd,order_cost_usd,order_details,notes
FAST-035,"Grommet, Oval, 27x13 mm",Fasteners,12,12,cots,,,Amazon,,,,,,
FAST-036,"Silicone Foam Seal Strip, Circular, 8 mm OD",Fasteners,1,1,cots,,,Amazon,,,,,,
CONS-001,Loctite Threadlocker Purple 222,Consumables and Tools,AR,AR,cots,,low-strength threadlocker,McMaster-Carr,1810A28,https://www.mcmaster.com/1810A28,,,,
CONS-002,Loctite Threadlocker Blue 242,Consumables and Tools,AR,AR,cots,,medium-strength threadlocker,McMaster-Carr,91458A113,https://www.mcmaster.com/91458A113,,,,
CONS-003,Loctite Threadlocker Red 262,Consumables and Tools,AR,AR,cots,,high-strength threadlocker,McMaster-Carr,91458A170,https://www.mcmaster.com/91458A170,,,,
CONS-004,"Würth Super RTV Silicone, Black",Consumables and Tools,AR,AR,cots,,200 ml,Würth,08933311,,,,,
CONS-005,"Double-Sided Tape, Heavy Duty",Consumables and Tools,AR,AR,cots,,,Amazon,,,,,,
CONS-006,Bambulab PETG-CF Filament,Consumables and Tools,AR,2,cots,,,Bambulab,,https://us.store.bambulab.com/,32.00,64.00,two spools cover all printed parts,
CONS-007,"Thermal Paste, Arctic MX-4, 20 g",Consumables and Tools,AR,AR,cots,,,Amazon,,https://a.co/d/bZ7soGb,12.00,,,For the BC PCB heatsink interface.
TOOL-001,"Allen Key Set, Metric M2-M5",Consumables and Tools,AR,AR,cots,,,,,,,,,
TOOL-002,"Wrench Set, Metric",Consumables and Tools,AR,AR,cots,,,,,,,,,
TOOL-003,Cordless Screwdriver or Drill Press,Consumables and Tools,AR,AR,cots,,,,,,,,,
TOOL-004,"Riveting Tool, for 4 mm rivets",Consumables and Tools,AR,AR,cots,,,,,,,,,
